#  Theta paroi en deg  Angle Choc en deg        Kp           Inverse Mach       Mach amont       Mach aval
    17.75105155       35.92277778        0.26672851        0.38724221        2.00000000        1.76031450
    17.82704898       35.98277778        0.26862448        0.38644362        2.00000000        1.75811052
    17.90277415       36.04277778        0.27051938        0.38564488        2.00000000        1.75590995
    17.97823345       36.10277778        0.27241330        0.38484595        2.00000000        1.75371278
    18.05342840       36.16277778        0.27430622        0.38404682        2.00000000        1.75151898
    18.12836510       36.22277778        0.27619824        0.38324744        2.00000000        1.74932853
    18.20304526       36.28277778        0.27808932        0.38244783        2.00000000        1.74714140
    18.27747486       36.34277778        0.27997958        0.38164791        2.00000000        1.74495758
    18.35165533       36.40277778        0.28186897        0.38084770        2.00000000        1.74277703
    18.42559184       36.46277778        0.28375759        0.38004715        2.00000000        1.74059975
    18.49928693       36.52277778        0.28564542        0.37924626        2.00000000        1.73842570
    18.57274350       36.58277778        0.28753250        0.37844499        2.00000000        1.73625486
    18.64596658       36.64277778        0.28941890        0.37764332        2.00000000        1.73408721
    18.71895768       36.70277778        0.29130459        0.37684123        2.00000000        1.73192274
    18.79171998       36.76277778        0.29318962        0.37603870        2.00000000        1.72976141
    18.86425734       36.82277778        0.29507403        0.37523571        2.00000000        1.72760322
    18.93657245       36.88277778        0.29695783        0.37443224        2.00000000        1.72544814
    19.00866770       36.94277778        0.29884105        0.37362826        2.00000000        1.72329614
    19.08054596       37.00277778        0.30072369        0.37282377        2.00000000        1.72114721
    19.15221001       37.06277778        0.30260580        0.37201874        2.00000000        1.71900133
    19.22366300       37.12277778        0.30448740        0.37121315        2.00000000        1.71685848
    19.29490730       37.18277778        0.30636850        0.37040697        2.00000000        1.71471864
    19.36594520       37.24277778        0.30824913        0.36960020        2.00000000        1.71258179
    19.43677919       37.30277778        0.31012930        0.36879282        2.00000000        1.71044792
    19.50741172       37.36277778        0.31200903        0.36798481        2.00000000        1.70831699
    19.57784516       37.42277778        0.31388834        0.36717614        2.00000000        1.70618900
