#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.10000000E+00    # beta 
 0.13800001E+00  0.21134178E-02  0.30847184E-01  0.22681379E+00  0.47345473E-01  0.10717469E-02
 0.14400001E+00  0.23023809E-02  0.32208876E-01  0.22709779E+00  0.47320663E-01  0.11678488E-02
 0.15000001E+00  0.24995190E-02  0.33572272E-01  0.22738164E+00  0.47294736E-01  0.12681610E-02
 0.15600001E+00  0.27048423E-02  0.34937371E-01  0.22766533E+00  0.47267685E-01  0.13726939E-02
 0.16200001E+00  0.29183611E-02  0.36304171E-01  0.22794886E+00  0.47239506E-01  0.14814574E-02
 0.16800001E+00  0.31400855E-02  0.37672672E-01  0.22823221E+00  0.47210194E-01  0.15944618E-02
 0.17400001E+00  0.33700258E-02  0.39042872E-01  0.22851539E+00  0.47179744E-01  0.17117172E-02
 0.18000001E+00  0.36081921E-02  0.40414771E-01  0.22879838E+00  0.47148151E-01  0.18332335E-02
 0.18600001E+00  0.38545946E-02  0.41788367E-01  0.22908117E+00  0.47115409E-01  0.19590211E-02
 0.19200001E+00  0.41092436E-02  0.43163660E-01  0.22936377E+00  0.47081513E-01  0.20890898E-02
 0.19800001E+00  0.43721491E-02  0.44540648E-01  0.22964616E+00  0.47046460E-01  0.22234498E-02
 0.20400001E+00  0.46433214E-02  0.45919329E-01  0.22992833E+00  0.47010243E-01  0.23621111E-02
 0.21000001E+00  0.49227706E-02  0.47299703E-01  0.23021029E+00  0.46972858E-01  0.25050837E-02
 0.21600001E+00  0.52105069E-02  0.48681768E-01  0.23049202E+00  0.46934299E-01  0.26523777E-02
 0.22200001E+00  0.55065404E-02  0.50065522E-01  0.23077351E+00  0.46894562E-01  0.28040030E-02
 0.22800001E+00  0.58108812E-02  0.51450965E-01  0.23105476E+00  0.46853642E-01  0.29599697E-02
 0.23400001E+00  0.61235395E-02  0.52838095E-01  0.23133576E+00  0.46811533E-01  0.31202876E-02
 0.24000001E+00  0.64445253E-02  0.54226909E-01  0.23161651E+00  0.46768231E-01  0.32849668E-02
 0.24600001E+00  0.67738489E-02  0.55617408E-01  0.23189699E+00  0.46723731E-01  0.34540171E-02
 0.25200001E+00  0.71115202E-02  0.57009589E-01  0.23217721E+00  0.46678028E-01  0.36274484E-02
 0.25800001E+00  0.74575494E-02  0.58403450E-01  0.23245714E+00  0.46631116E-01  0.38052707E-02
 0.26400001E+00  0.78119466E-02  0.59798990E-01  0.23273679E+00  0.46582991E-01  0.39874938E-02
 0.27000001E+00  0.81747218E-02  0.61196207E-01  0.23301615E+00  0.46533648E-01  0.41741275E-02
 0.27600001E+00  0.85458851E-02  0.62595100E-01  0.23329521E+00  0.46483082E-01  0.43651816E-02
 0.28200001E+00  0.89254465E-02  0.63995666E-01  0.23357396E+00  0.46431287E-01  0.45606661E-02
 0.28800001E+00  0.93134160E-02  0.65397903E-01  0.23385240E+00  0.46378260E-01  0.47605905E-02
 0.29400001E+00  0.97098038E-02  0.66801810E-01  0.23413051E+00  0.46323995E-01  0.49649647E-02
 0.30000001E+00  0.10114620E-01  0.68207385E-01  0.23440830E+00  0.46268488E-01  0.51737985E-02
 0.30600001E+00  0.10527874E-01  0.69614626E-01  0.23468575E+00  0.46211733E-01  0.53871014E-02
 0.31200001E+00  0.10949576E-01  0.71023531E-01  0.23496285E+00  0.46153725E-01  0.56048832E-02
 0.31800002E+00  0.11379737E-01  0.72434097E-01  0.23523961E+00  0.46094460E-01  0.58271536E-02
 0.32400002E+00  0.11818365E-01  0.73846322E-01  0.23551600E+00  0.46033932E-01  0.60539222E-02
 0.33000002E+00  0.12265472E-01  0.75260205E-01  0.23579203E+00  0.45972138E-01  0.62851985E-02
 0.33600002E+00  0.12721067E-01  0.76675743E-01  0.23606769E+00  0.45909072E-01  0.65209922E-02
 0.34200002E+00  0.13185159E-01  0.78092934E-01  0.23634296E+00  0.45844728E-01  0.67613127E-02
 0.34800002E+00  0.13657760E-01  0.79511776E-01  0.23661784E+00  0.45779104E-01  0.70061697E-02
 0.35400002E+00  0.14138878E-01  0.80932265E-01  0.23689232E+00  0.45712193E-01  0.72555726E-02
 0.36000002E+00  0.14628524E-01  0.82354401E-01  0.23716640E+00  0.45643991E-01  0.75095308E-02
 0.36600002E+00  0.15126707E-01  0.83778179E-01  0.23744007E+00  0.45574493E-01  0.77680539E-02
 0.37200002E+00  0.15633438E-01  0.85203599E-01  0.23771332E+00  0.45503694E-01  0.80311511E-02
 0.37800002E+00  0.16148726E-01  0.86630656E-01  0.23798613E+00  0.45431591E-01  0.82988319E-02
 0.38400002E+00  0.16672581E-01  0.88059350E-01  0.23825851E+00  0.45358177E-01  0.85711055E-02
 0.39000002E+00  0.17205013E-01  0.89489676E-01  0.23853045E+00  0.45283448E-01  0.88479814E-02
 0.39600002E+00  0.17746031E-01  0.90921633E-01  0.23880193E+00  0.45207400E-01  0.91294687E-02
 0.40200002E+00  0.18295646E-01  0.92355217E-01  0.23907296E+00  0.45130027E-01  0.94155767E-02
 0.40800002E+00  0.18853867E-01  0.93790426E-01  0.23934352E+00  0.45051326E-01  0.97063146E-02
 0.41400002E+00  0.19420703E-01  0.95227258E-01  0.23961360E+00  0.44971292E-01  0.10001692E-01
 0.42000002E+00  0.19996166E-01  0.96665708E-01  0.23988319E+00  0.44889919E-01  0.10301717E-01
 0.42600002E+00  0.20580263E-01  0.98105774E-01  0.24015230E+00  0.44807204E-01  0.10606399E-01
 0.43200002E+00  0.21173006E-01  0.99547454E-01  0.24042090E+00  0.44723142E-01  0.10915748E-01
 0.43800002E+00  0.21774403E-01  0.10099074E+00  0.24068900E+00  0.44637727E-01  0.11229772E-01
 0.44400002E+00  0.22384465E-01  0.10243564E+00  0.24095658E+00  0.44550957E-01  0.11548481E-01
 0.45000002E+00  0.23003201E-01  0.10388214E+00  0.24122363E+00  0.44462826E-01  0.11871883E-01
 0.45600002E+00  0.23630620E-01  0.10533024E+00  0.24149016E+00  0.44373329E-01  0.12199987E-01
 0.46200002E+00  0.24266732E-01  0.10677994E+00  0.24175614E+00  0.44282463E-01  0.12532802E-01
 0.46800002E+00  0.24911547E-01  0.10823124E+00  0.24202157E+00  0.44190223E-01  0.12870337E-01
 0.47400002E+00  0.25565075E-01  0.10968412E+00  0.24228645E+00  0.44096604E-01  0.13212601E-01
 0.48000002E+00  0.26227324E-01  0.11113859E+00  0.24255075E+00  0.44001602E-01  0.13559602E-01
 0.48600002E+00  0.26898304E-01  0.11259465E+00  0.24281449E+00  0.43905213E-01  0.13911349E-01
 0.49200002E+00  0.27578026E-01  0.11405229E+00  0.24307764E+00  0.43807431E-01  0.14267851E-01
 0.49800002E+00  0.28266497E-01  0.11551150E+00  0.24334021E+00  0.43708254E-01  0.14629117E-01
 0.50400002E+00  0.28963729E-01  0.11697229E+00  0.24360217E+00  0.43607677E-01  0.14995154E-01
 0.51000002E+00  0.29669730E-01  0.11843465E+00  0.24386353E+00  0.43505695E-01  0.15365972E-01
 0.51600002E+00  0.30384509E-01  0.11989857E+00  0.24412427E+00  0.43402303E-01  0.15741579E-01
 0.52200002E+00  0.31108076E-01  0.12136406E+00  0.24438438E+00  0.43297499E-01  0.16121983E-01
 0.52800003E+00  0.31840441E-01  0.12283111E+00  0.24464386E+00  0.43191278E-01  0.16507193E-01
 0.53400003E+00  0.32581612E-01  0.12429971E+00  0.24490271E+00  0.43083635E-01  0.16897217E-01
 0.54000003E+00  0.33331600E-01  0.12576986E+00  0.24516090E+00  0.42974566E-01  0.17292064E-01
 0.54600003E+00  0.34090413E-01  0.12724156E+00  0.24541843E+00  0.42864068E-01  0.17691741E-01
 0.55200003E+00  0.34858060E-01  0.12871480E+00  0.24567530E+00  0.42752136E-01  0.18096257E-01
 0.55800003E+00  0.35634551E-01  0.13018959E+00  0.24593149E+00  0.42638766E-01  0.18505620E-01
 0.56400003E+00  0.36419896E-01  0.13166590E+00  0.24618699E+00  0.42523954E-01  0.18919839E-01
 0.57000003E+00  0.37214102E-01  0.13314375E+00  0.24644181E+00  0.42407697E-01  0.19338920E-01
 0.57600003E+00  0.38017180E-01  0.13462313E+00  0.24669592E+00  0.42289990E-01  0.19762872E-01
 0.58200003E+00  0.38829139E-01  0.13610402E+00  0.24694932E+00  0.42170829E-01  0.20191704E-01
 0.58800003E+00  0.39649987E-01  0.13758644E+00  0.24720200E+00  0.42050210E-01  0.20625422E-01
 0.59400003E+00  0.40479734E-01  0.13907037E+00  0.24745396E+00  0.41928130E-01  0.21064035E-01
 0.60000003E+00  0.41318389E-01  0.14055581E+00  0.24770517E+00  0.41804585E-01  0.21507551E-01
 0.60600003E+00  0.42165961E-01  0.14204276E+00  0.24795565E+00  0.41679570E-01  0.21955977E-01
 0.61200003E+00  0.43022459E-01  0.14353120E+00  0.24820536E+00  0.41553083E-01  0.22409321E-01
 0.61800003E+00  0.43887892E-01  0.14502115E+00  0.24845432E+00  0.41425119E-01  0.22867590E-01
 0.62400003E+00  0.44762269E-01  0.14651258E+00  0.24870250E+00  0.41295675E-01  0.23330793E-01
 0.63000003E+00  0.45645598E-01  0.14800550E+00  0.24894990E+00  0.41164748E-01  0.23798935E-01
 0.63600003E+00  0.46537890E-01  0.14949990E+00  0.24919651E+00  0.41032332E-01  0.24272026E-01
 0.64200003E+00  0.47439152E-01  0.15099578E+00  0.24944233E+00  0.40898426E-01  0.24750073E-01
 0.64800003E+00  0.48349393E-01  0.15249314E+00  0.24968733E+00  0.40763025E-01  0.25233082E-01
 0.65400003E+00  0.49268623E-01  0.15399196E+00  0.24993152E+00  0.40626127E-01  0.25721060E-01
 0.66000003E+00  0.50196850E-01  0.15549224E+00  0.25017488E+00  0.40487726E-01  0.26214016E-01
 0.66600003E+00  0.51134082E-01  0.15699398E+00  0.25041741E+00  0.40347821E-01  0.26711957E-01
 0.67200003E+00  0.52080330E-01  0.15849717E+00  0.25065910E+00  0.40206408E-01  0.27214888E-01
 0.67800003E+00  0.53035600E-01  0.16000182E+00  0.25089993E+00  0.40063483E-01  0.27722818E-01
 0.68400003E+00  0.53999903E-01  0.16150790E+00  0.25113990E+00  0.39919043E-01  0.28235753E-01
 0.69000003E+00  0.54973246E-01  0.16301542E+00  0.25137900E+00  0.39773085E-01  0.28753700E-01
 0.69600003E+00  0.55955638E-01  0.16452437E+00  0.25161722E+00  0.39625605E-01  0.29276666E-01
 0.70200003E+00  0.56947089E-01  0.16603475E+00  0.25185455E+00  0.39476601E-01  0.29804657E-01
 0.70800003E+00  0.57947605E-01  0.16754656E+00  0.25209098E+00  0.39326070E-01  0.30337681E-01
 0.71400003E+00  0.58957196E-01  0.16905977E+00  0.25232650E+00  0.39174008E-01  0.30875744E-01
 0.72000003E+00  0.59975871E-01  0.17057440E+00  0.25256111E+00  0.39020412E-01  0.31418852E-01
 0.72600003E+00  0.61003637E-01  0.17209043E+00  0.25279479E+00  0.38865279E-01  0.31967012E-01
 0.73200003E+00  0.62040504E-01  0.17360787E+00  0.25302754E+00  0.38708607E-01  0.32520230E-01
 0.73800004E+00  0.63086479E-01  0.17512669E+00  0.25325934E+00  0.38550392E-01  0.33078513E-01
 0.74400004E+00  0.64141571E-01  0.17664691E+00  0.25349019E+00  0.38390632E-01  0.33641867E-01
 0.75000004E+00  0.65205789E-01  0.17816850E+00  0.25372007E+00  0.38229324E-01  0.34210298E-01
 0.75600004E+00  0.66279140E-01  0.17969148E+00  0.25394898E+00  0.38066465E-01  0.34783812E-01
 0.76200004E+00  0.67361632E-01  0.18121582E+00  0.25417691E+00  0.37902053E-01  0.35362415E-01
 0.76800004E+00  0.68453275E-01  0.18274153E+00  0.25440385E+00  0.37736084E-01  0.35946114E-01
 0.77400004E+00  0.69554076E-01  0.18426860E+00  0.25462979E+00  0.37568556E-01  0.36534913E-01
 0.78000004E+00  0.70664043E-01  0.18579702E+00  0.25485472E+00  0.37399467E-01  0.37128820E-01
 0.78600004E+00  0.71783184E-01  0.18732679E+00  0.25507864E+00  0.37228815E-01  0.37727839E-01
 0.79200004E+00  0.72911508E-01  0.18885789E+00  0.25530152E+00  0.37056596E-01  0.38331976E-01
 0.79800004E+00  0.74049022E-01  0.19039034E+00  0.25552336E+00  0.36882808E-01  0.38941237E-01
 0.80400004E+00  0.75195735E-01  0.19192411E+00  0.25574416E+00  0.36707449E-01  0.39555627E-01
 0.81000004E+00  0.76351654E-01  0.19345920E+00  0.25596390E+00  0.36530517E-01  0.40175152E-01
 0.81600004E+00  0.77516787E-01  0.19499561E+00  0.25618258E+00  0.36352010E-01  0.40799817E-01
 0.82200004E+00  0.78691142E-01  0.19653332E+00  0.25640018E+00  0.36171925E-01  0.41429628E-01
 0.82800004E+00  0.79874728E-01  0.19807234E+00  0.25661669E+00  0.35990260E-01  0.42064589E-01
 0.83400004E+00  0.81067551E-01  0.19961265E+00  0.25683211E+00  0.35807014E-01  0.42704705E-01
 0.84000004E+00  0.82269620E-01  0.20115426E+00  0.25704643E+00  0.35622183E-01  0.43349983E-01
 0.84600004E+00  0.83480942E-01  0.20269715E+00  0.25725963E+00  0.35435767E-01  0.44000425E-01
 0.85200004E+00  0.84701526E-01  0.20424131E+00  0.25747171E+00  0.35247763E-01  0.44656039E-01
 0.85800004E+00  0.85931377E-01  0.20578674E+00  0.25768266E+00  0.35058170E-01  0.45316827E-01
 0.86400004E+00  0.87170505E-01  0.20733344E+00  0.25789246E+00  0.34866985E-01  0.45982796E-01
 0.87000004E+00  0.88418917E-01  0.20888139E+00  0.25810112E+00  0.34674207E-01  0.46653948E-01
 0.87600004E+00  0.89676620E-01  0.21043058E+00  0.25830861E+00  0.34479835E-01  0.47330290E-01
 0.88200004E+00  0.90943622E-01  0.21198102E+00  0.25851493E+00  0.34283867E-01  0.48011825E-01
 0.88800004E+00  0.92219930E-01  0.21353270E+00  0.25872007E+00  0.34086301E-01  0.48698558E-01
 0.89400004E+00  0.93505551E-01  0.21508560E+00  0.25892402E+00  0.33887136E-01  0.49390493E-01
 0.90000004E+00  0.94800493E-01  0.21663972E+00  0.25912677E+00  0.33686370E-01  0.50087634E-01
 0.90600004E+00  0.96104764E-01  0.21819506E+00  0.25932831E+00  0.33484002E-01  0.50789985E-01
 0.91200004E+00  0.97418370E-01  0.21975160E+00  0.25952864E+00  0.33280032E-01  0.51497550E-01
 0.91800004E+00  0.98741318E-01  0.22130934E+00  0.25972773E+00  0.33074457E-01  0.52210333E-01
 0.92400004E+00  0.10007362E+00  0.22286827E+00  0.25992559E+00  0.32867276E-01  0.52928338E-01
 0.93000004E+00  0.10141527E+00  0.22442839E+00  0.26012220E+00  0.32658489E-01  0.53651569E-01
 0.93600004E+00  0.10276629E+00  0.22598968E+00  0.26031755E+00  0.32448094E-01  0.54380028E-01
 0.94200004E+00  0.10412668E+00  0.22755214E+00  0.26051164E+00  0.32236091E-01  0.55113720E-01
 0.94800005E+00  0.10549645E+00  0.22911576E+00  0.26070445E+00  0.32022478E-01  0.55852648E-01
 0.95400005E+00  0.10687560E+00  0.23068053E+00  0.26089597E+00  0.31807255E-01  0.56596816E-01
 0.96000005E+00  0.10826415E+00  0.23224645E+00  0.26108619E+00  0.31590421E-01  0.57346226E-01
 0.96600005E+00  0.10966209E+00  0.23381350E+00  0.26127511E+00  0.31371975E-01  0.58100881E-01
 0.97200005E+00  0.11106944E+00  0.23538169E+00  0.26146272E+00  0.31151918E-01  0.58860785E-01
 0.97800005E+00  0.11248621E+00  0.23695100E+00  0.26164900E+00  0.30930247E-01  0.59625941E-01
 0.98400005E+00  0.11391239E+00  0.23852142E+00  0.26183395E+00  0.30706963E-01  0.60396351E-01
 0.99000005E+00  0.11534799E+00  0.24009295E+00  0.26201755E+00  0.30482066E-01  0.61172018E-01
 0.99600005E+00  0.11679303E+00  0.24166557E+00  0.26219980E+00  0.30255555E-01  0.61952945E-01
 0.10020000E+01  0.11824751E+00  0.24323929E+00  0.26238068E+00  0.30027430E-01  0.62739134E-01
 0.10080000E+01  0.11971144E+00  0.24481409E+00  0.26256019E+00  0.29797690E-01  0.63530587E-01
 0.10140000E+01  0.12118481E+00  0.24638995E+00  0.26273832E+00  0.29566336E-01  0.64327308E-01
 0.10200000E+01  0.12266764E+00  0.24796689E+00  0.26291505E+00  0.29333368E-01  0.65129298E-01
 0.10260000E+01  0.12415994E+00  0.24954488E+00  0.26309039E+00  0.29098785E-01  0.65936558E-01
 0.10320000E+01  0.12566171E+00  0.25112392E+00  0.26326431E+00  0.28862588E-01  0.66749093E-01
 0.10380000E+01  0.12717296E+00  0.25270400E+00  0.26343680E+00  0.28624777E-01  0.67566902E-01
 0.10440000E+01  0.12869369E+00  0.25428511E+00  0.26360787E+00  0.28385352E-01  0.68389988E-01
 0.10500000E+01  0.13022391E+00  0.25586724E+00  0.26377750E+00  0.28144314E-01  0.69218353E-01
 0.10560001E+01  0.13176362E+00  0.25745038E+00  0.26394567E+00  0.27901663E-01  0.70051998E-01
 0.10620001E+01  0.13331284E+00  0.25903453E+00  0.26411239E+00  0.27657400E-01  0.70890924E-01
 0.10680001E+01  0.13487156E+00  0.26061968E+00  0.26427763E+00  0.27411524E-01  0.71735134E-01
 0.10740001E+01  0.13643980E+00  0.26220581E+00  0.26444140E+00  0.27164038E-01  0.72584627E-01
 0.10800001E+01  0.13801756E+00  0.26379292E+00  0.26460367E+00  0.26914941E-01  0.73439406E-01
 0.10860001E+01  0.13960484E+00  0.26538101E+00  0.26476445E+00  0.26664235E-01  0.74299472E-01
 0.10920001E+01  0.14120166E+00  0.26697005E+00  0.26492371E+00  0.26411920E-01  0.75164824E-01
 0.10980001E+01  0.14280801E+00  0.26856004E+00  0.26508146E+00  0.26157998E-01  0.76035465E-01
 0.11040001E+01  0.14442390E+00  0.27015097E+00  0.26523768E+00  0.25902469E-01  0.76911394E-01
 0.11100001E+01  0.14604934E+00  0.27174284E+00  0.26539237E+00  0.25645334E-01  0.77792612E-01
 0.11160001E+01  0.14768434E+00  0.27333563E+00  0.26554550E+00  0.25386596E-01  0.78679121E-01
 0.11220001E+01  0.14932890E+00  0.27492934E+00  0.26569708E+00  0.25126254E-01  0.79570919E-01
 0.11280001E+01  0.15098302E+00  0.27652395E+00  0.26584709E+00  0.24864312E-01  0.80468007E-01
 0.11340001E+01  0.15264671E+00  0.27811946E+00  0.26599553E+00  0.24600769E-01  0.81370386E-01
 0.11400001E+01  0.15431997E+00  0.27971585E+00  0.26614238E+00  0.24335629E-01  0.82278055E-01
 0.11460001E+01  0.15600282E+00  0.28131312E+00  0.26628763E+00  0.24068891E-01  0.83191015E-01
 0.11520001E+01  0.15769525E+00  0.28291125E+00  0.26643128E+00  0.23800559E-01  0.84109264E-01
 0.11580001E+01  0.15939728E+00  0.28451025E+00  0.26657332E+00  0.23530634E-01  0.85032803E-01
 0.11640001E+01  0.16110890E+00  0.28611009E+00  0.26671373E+00  0.23259118E-01  0.85961631E-01
 0.11700001E+01  0.16283012E+00  0.28771077E+00  0.26685250E+00  0.22986013E-01  0.86895747E-01
 0.11760001E+01  0.16456095E+00  0.28931227E+00  0.26698964E+00  0.22711320E-01  0.87835151E-01
 0.11820001E+01  0.16630139E+00  0.29091460E+00  0.26712512E+00  0.22435044E-01  0.88779842E-01
 0.11880001E+01  0.16805144E+00  0.29251773E+00  0.26725894E+00  0.22157184E-01  0.89729819E-01
 0.11940001E+01  0.16981112E+00  0.29412166E+00  0.26739109E+00  0.21877745E-01  0.90685080E-01
 0.12000001E+01  0.17158042E+00  0.29572638E+00  0.26752155E+00  0.21596728E-01  0.91645626E-01
 0.12060001E+01  0.17335936E+00  0.29733188E+00  0.26765033E+00  0.21314136E-01  0.92611453E-01
 0.12120001E+01  0.17514793E+00  0.29893814E+00  0.26777740E+00  0.21029972E-01  0.93582561E-01
 0.12180001E+01  0.17694614E+00  0.30054517E+00  0.26790277E+00  0.20744238E-01  0.94558948E-01
 0.12240001E+01  0.17875399E+00  0.30215294E+00  0.26802642E+00  0.20456938E-01  0.95540612E-01
 0.12300001E+01  0.18057149E+00  0.30376144E+00  0.26814834E+00  0.20168073E-01  0.96527552E-01
 0.12360001E+01  0.18239864E+00  0.30537068E+00  0.26826852E+00  0.19877648E-01  0.97519765E-01
 0.12420001E+01  0.18423546E+00  0.30698063E+00  0.26838695E+00  0.19585665E-01  0.98517250E-01
 0.12480001E+01  0.18608193E+00  0.30859128E+00  0.26850363E+00  0.19292128E-01  0.99520004E-01
 0.12540001E+01  0.18793807E+00  0.31020263E+00  0.26861854E+00  0.18997039E-01  0.10052802E+00
 0.12600001E+01  0.18980388E+00  0.31181467E+00  0.26873168E+00  0.18700403E-01  0.10154131E+00
 0.12660001E+01  0.19167936E+00  0.31342738E+00  0.26884303E+00  0.18402222E-01  0.10255986E+00
 0.12720001E+01  0.19356453E+00  0.31504075E+00  0.26895259E+00  0.18102501E-01  0.10358366E+00
 0.12780001E+01  0.19545937E+00  0.31665477E+00  0.26906035E+00  0.17801242E-01  0.10461272E+00
 0.12840001E+01  0.19736390E+00  0.31826944E+00  0.26916630E+00  0.17498451E-01  0.10564704E+00
 0.12900001E+01  0.19927812E+00  0.31988473E+00  0.26927042E+00  0.17194130E-01  0.10668660E+00
 0.12960001E+01  0.20120203E+00  0.32150065E+00  0.26937271E+00  0.16888283E-01  0.10773141E+00
 0.13020001E+01  0.20313565E+00  0.32311717E+00  0.26947317E+00  0.16580916E-01  0.10878147E+00
 0.13080001E+01  0.20507896E+00  0.32473429E+00  0.26957178E+00  0.16272031E-01  0.10983676E+00
 0.13140001E+01  0.20703197E+00  0.32635200E+00  0.26966852E+00  0.15961634E-01  0.11089729E+00
 0.13200001E+01  0.20899470E+00  0.32797028E+00  0.26976341E+00  0.15649728E-01  0.11196305E+00
 0.13260001E+01  0.21096713E+00  0.32958913E+00  0.26985641E+00  0.15336318E-01  0.11303404E+00
 0.13320001E+01  0.21294928E+00  0.33120853E+00  0.26994753E+00  0.15021409E-01  0.11411025E+00
 0.13380001E+01  0.21494115E+00  0.33282847E+00  0.27003676E+00  0.14705005E-01  0.11519168E+00
 0.13440001E+01  0.21694274E+00  0.33444894E+00  0.27012408E+00  0.14387111E-01  0.11627833E+00
 0.13500001E+01  0.21895405E+00  0.33606993E+00  0.27020950E+00  0.14067731E-01  0.11737019E+00
 0.13560001E+01  0.22097509E+00  0.33769142E+00  0.27029299E+00  0.13746872E-01  0.11846725E+00
 0.13620001E+01  0.22300586E+00  0.33931341E+00  0.27037455E+00  0.13424538E-01  0.11956951E+00
 0.13680001E+01  0.22504637E+00  0.34093589E+00  0.27045418E+00  0.13100734E-01  0.12067698E+00
 0.13740001E+01  0.22709661E+00  0.34255884E+00  0.27053186E+00  0.12775465E-01  0.12178963E+00
 0.13800001E+01  0.22915659E+00  0.34418224E+00  0.27060758E+00  0.12448737E-01  0.12290747E+00
 0.13860001E+01  0.23122631E+00  0.34580610E+00  0.27068134E+00  0.12120556E-01  0.12403048E+00
 0.13920001E+01  0.23330578E+00  0.34743040E+00  0.27075312E+00  0.11790926E-01  0.12515868E+00
 0.13980001E+01  0.23539499E+00  0.34905511E+00  0.27082292E+00  0.11459854E-01  0.12629204E+00
 0.14040001E+01  0.23749395E+00  0.35068025E+00  0.27089074E+00  0.11127345E-01  0.12743057E+00
 0.14100001E+01  0.23960266E+00  0.35230578E+00  0.27095655E+00  0.10793406E-01  0.12857425E+00
 0.14160001E+01  0.24172113E+00  0.35393170E+00  0.27102036E+00  0.10458042E-01  0.12972309E+00
 0.14220001E+01  0.24384936E+00  0.35555800E+00  0.27108214E+00  0.10121259E-01  0.13087707E+00
 0.14280001E+01  0.24598734E+00  0.35718466E+00  0.27114191E+00  0.97830639E-02  0.13203619E+00
 0.14340001E+01  0.24813509E+00  0.35881168E+00  0.27119964E+00  0.94434626E-02  0.13320044E+00
 0.14400001E+01  0.25029259E+00  0.36043904E+00  0.27125533E+00  0.91024617E-02  0.13436982E+00
 0.14460001E+01  0.25245987E+00  0.36206673E+00  0.27130897E+00  0.87600677E-02  0.13554432E+00
 0.14520001E+01  0.25463691E+00  0.36369473E+00  0.27136055E+00  0.84162871E-02  0.13672393E+00
 0.14580001E+01  0.25682372E+00  0.36532303E+00  0.27141007E+00  0.80711269E-02  0.13790865E+00
 0.14640001E+01  0.25902030E+00  0.36695163E+00  0.27145750E+00  0.77245937E-02  0.13909846E+00
 0.14700001E+01  0.26122665E+00  0.36858051E+00  0.27150286E+00  0.73766945E-02  0.14029336E+00
 0.14760001E+01  0.26344277E+00  0.37020965E+00  0.27154613E+00  0.70274364E-02  0.14149334E+00
 0.14820001E+01  0.26566868E+00  0.37183904E+00  0.27158729E+00  0.66768267E-02  0.14269840E+00
 0.14880001E+01  0.26790436E+00  0.37346868E+00  0.27162635E+00  0.63248724E-02  0.14390853E+00
 0.14940001E+01  0.27014981E+00  0.37509854E+00  0.27166329E+00  0.59715811E-02  0.14512372E+00
 0.15000001E+01  0.27240505E+00  0.37672862E+00  0.27169811E+00  0.56169601E-02  0.14634396E+00
 0.15060001E+01  0.27467007E+00  0.37835891E+00  0.27173080E+00  0.52610172E-02  0.14756924E+00
