#   Theta paroi en °  Angle Choc en °        Kp           Inverse Mach       Mach amont       Mach aval
10.15699402 11.1609905   0.0650468   0.91015042 50.00000000 11.21448360
10.23839096 11.2498445   0.0660811   0.90945200 50.00000000 11.12796623
10.31977712 11.3386985   0.0671232   0.90875288 50.00000000 11.04269193
10.40115299 11.4275525   0.0681731   0.90805306 50.00000000 10.95863443
10.48251728 11.5164065   0.0692308   0.90735256 50.00000000 10.87576820
10.56387011 11.6052605   0.0702961   0.90665140 50.00000000 10.79406838
10.64521260 11.6941145   0.0713692   0.90594954 50.00000000 10.71351079
10.72654511 11.7829685   0.0724501   0.90524699 50.00000000 10.63407188
10.80786645 11.8718225   0.0735387   0.90454377 50.00000000 10.55572875
10.88917671 11.9606765   0.0746349   0.90383988 50.00000000 10.47845909
10.97047685 12.0495305   0.0757388   0.90313531 50.00000000 10.40224118
11.05176742 12.1383846   0.0768505   0.90243005 50.00000000 10.32705385
11.13304716 12.2272386   0.0779698   0.90172413 50.00000000 10.25287651
11.21431615 12.3160926   0.0790968   0.90101753 50.00000000 10.17968908
11.29557502 12.4049466   0.0802313   0.90031026 50.00000000 10.10747201
11.37682482 12.4938006   0.0813736   0.89960229 50.00000000 10.03620623
11.45806408 12.5826546   0.0825235   0.89889366 50.00000000  9.96587318
11.53929285 12.6715086   0.0836810   0.89818436 50.00000000  9.89645474
11.62051133 12.7603626   0.0848460   0.89747439 50.00000000  9.82793328
11.70172132 12.8492166   0.0860188   0.89676372 50.00000000  9.76029158
11.78292100 12.9380706   0.0871991   0.89605239 50.00000000  9.69351286
11.86411041 13.0269246   0.0883869   0.89534038 50.00000000  9.62758076
11.94528961 13.1157786   0.0895823   0.89462771 50.00000000  9.56247931
12.02646016 13.2046327   0.0907852   0.89391434 50.00000000  9.49819294
12.10762099 13.2934867   0.0919958   0.89320029 50.00000000  9.43470646
12.18877173 13.3823407   0.0932138   0.89248557 50.00000000  9.37200505
12.26991243 13.4711947   0.0944393   0.89177017 50.00000000  9.31007422
12.35104392 13.5600487   0.0956723   0.89105409 50.00000000  9.24889986
12.43216647 13.6489027   0.0969128   0.89033731 50.00000000  9.18846819
12.51327907 13.7377567   0.0981608   0.88961986 50.00000000  9.12876573
12.59438176 13.8266107   0.0994163   0.88890173 50.00000000  9.06977936
12.67547459 13.9154647   0.1006791   0.88818292 50.00000000  9.01149623
12.75655929 14.0043187   0.1019495   0.88746340 50.00000000  8.95390381
12.83763415 14.0931727   0.1032273   0.88674319 50.00000000  8.89698986
12.91869921 14.1820267   0.1045125   0.88602230 50.00000000  8.84074241
12.99975448 14.2708807   0.1058051   0.88530073 50.00000000  8.78514977
13.08080079 14.3597348   0.1071051   0.88457845 50.00000000  8.73020052
13.16183820 14.4485888   0.1084125   0.88385547 50.00000000  8.67588351
13.24286587 14.53744282  0.10972731  0.88313179 50.00000000  8.62218782
13.32388383 14.62629682  0.11104938  0.88240743 50.00000000  8.56910280
13.40489208 14.71515083  0.11237877  0.88168236 50.00000000  8.51661800
13.48589201 14.80400484  0.11371558  0.88095658 50.00000000  8.46472325
13.56688245 14.89285885  0.11505969  0.88023009 50.00000000  8.41340857
13.64786321 14.98171286  0.11641108  0.87950289 50.00000000  8.36266422
13.72883430 15.07056686  0.11776972  0.87877500 50.00000000  8.31248067
13.80979600 15.15942087  0.11913564  0.87804639 50.00000000  8.26284858
13.89074926 15.24827488  0.12050891  0.87731705 50.00000000  8.21375883
13.97169286 15.33712889  0.12188939  0.87658700 50.00000000  8.16520250
14.05262680 15.42598290  0.12327709  0.87585623 50.00000000  8.11717086
14.13355109 15.51483690  0.12467198  0.87512475 50.00000000  8.06965535
14.21446627 15.60369091  0.12607411  0.87439253 50.00000000  8.02264761
14.29537267 15.69254492  0.12748349  0.87365958 50.00000000  7.97613945
14.37626940 15.78139893  0.12890002  0.87292591 50.00000000  7.93012285
14.45715647 15.87025294  0.13032370  0.87219151 50.00000000  7.88458997
14.53803387 15.95910694  0.13175450  0.87145637 50.00000000  7.83953313
14.61890223 16.04796095  0.13319249  0.87072049 50.00000000  7.79494479
14.69976162 16.13681496  0.13463765  0.86998387 50.00000000  7.75081760
14.78061131 16.22566897  0.13608989  0.86924650 50.00000000  7.70714432
14.86145130 16.31452298  0.13754921  0.86850839 50.00000000  7.66391790
14.94228158 16.40337698  0.13901559  0.86776953 50.00000000  7.62113141
15.02310271 16.49223099  0.14048907  0.86702992 50.00000000  7.57877806
15.10391481 16.58108500  0.14196966  0.86628954 50.00000000  7.53685121
15.18471716 16.66993901  0.14345727  0.86554841 50.00000000  7.49534434
15.26550975 16.75879302  0.14495188  0.86480652 50.00000000  7.45425106
15.34629256 16.84764702  0.14645348  0.86406387 50.00000000  7.41356512
15.42706594 16.93650103  0.14796210  0.86332045 50.00000000  7.37328040
15.50783036 17.02535504  0.14947777  0.86257624 50.00000000  7.33339086
15.58858495 17.11420905  0.15100039  0.86183127 50.00000000  7.29389063
15.66932969 17.20306306  0.15252994  0.86108552 50.00000000  7.25477392
15.75006456 17.29191706  0.15406641  0.86033899 50.00000000  7.21603506
15.83078957 17.38077107  0.15560978  0.85959168 50.00000000  7.17766850
15.91150581 17.46962508  0.15716017  0.85884356 50.00000000  7.13966880
15.99221212 17.55847909  0.15871743  0.85809466 50.00000000  7.10203060
16.07290847 17.64733310  0.16028155  0.85734496 50.00000000  7.06474866
16.15359485 17.73618710  0.16185252  0.85659447 50.00000000  7.02781784
16.23427124 17.82504111  0.16343032  0.85584318 50.00000000  6.99123309
16.31493824 17.91389512  0.16501500  0.85509108 50.00000000  6.95498946
