#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.50400002E+00  0.19738151E-02  0.11666738E-01  0.45940230E-01  0.90354857E-01  0.19531105E-02
 0.51000002E+00  0.20446039E-02  0.11943924E-01  0.46482352E-01  0.90352282E-01  0.20233989E-02
 0.51600002E+00  0.21170651E-02  0.12224363E-01  0.47024458E-01  0.90349615E-01  0.20953534E-02
 0.52200002E+00  0.21912181E-02  0.12508055E-01  0.47566548E-01  0.90346855E-01  0.21689935E-02
 0.52800003E+00  0.22670826E-02  0.12794999E-01  0.48108621E-01  0.90343998E-01  0.22443387E-02
 0.53400003E+00  0.23446781E-02  0.13085196E-01  0.48650677E-01  0.90341044E-01  0.23214084E-02
 0.54000003E+00  0.24240240E-02  0.13378645E-01  0.49192715E-01  0.90337988E-01  0.24002223E-02
 0.54600003E+00  0.25051398E-02  0.13675346E-01  0.49734734E-01  0.90334830E-01  0.24807997E-02
 0.55200003E+00  0.25880451E-02  0.13975299E-01  0.50276733E-01  0.90331567E-01  0.25631602E-02
 0.55800003E+00  0.26727594E-02  0.14278504E-01  0.50818713E-01  0.90328197E-01  0.26473231E-02
 0.56400003E+00  0.27593023E-02  0.14584961E-01  0.51360673E-01  0.90324717E-01  0.27333081E-02
 0.57000003E+00  0.28476931E-02  0.14894670E-01  0.51902611E-01  0.90321125E-01  0.28211345E-02
 0.57600003E+00  0.29379514E-02  0.15207630E-01  0.52444527E-01  0.90317418E-01  0.29108219E-02
 0.58200003E+00  0.30300968E-02  0.15523841E-01  0.52986421E-01  0.90313595E-01  0.30023897E-02
 0.58800003E+00  0.31241487E-02  0.15843304E-01  0.53528291E-01  0.90309653E-01  0.30958573E-02
 0.59400003E+00  0.32201266E-02  0.16166018E-01  0.54070138E-01  0.90305589E-01  0.31912443E-02
 0.60000003E+00  0.33180501E-02  0.16491983E-01  0.54611959E-01  0.90301401E-01  0.32885702E-02
 0.60600003E+00  0.34179387E-02  0.16821199E-01  0.55153756E-01  0.90297086E-01  0.33878543E-02
 0.61200003E+00  0.35198118E-02  0.17153666E-01  0.55695525E-01  0.90292642E-01  0.34891161E-02
 0.61800003E+00  0.36236889E-02  0.17489383E-01  0.56237268E-01  0.90288067E-01  0.35923751E-02
 0.62400003E+00  0.37295897E-02  0.17828350E-01  0.56778983E-01  0.90283357E-01  0.36976508E-02
 0.63000003E+00  0.38375335E-02  0.18170568E-01  0.57320670E-01  0.90278511E-01  0.38049625E-02
 0.63600003E+00  0.39475399E-02  0.18516036E-01  0.57862327E-01  0.90273524E-01  0.39143298E-02
 0.64200003E+00  0.40596283E-02  0.18864754E-01  0.58403953E-01  0.90268396E-01  0.40257720E-02
 0.64800003E+00  0.41738183E-02  0.19216721E-01  0.58945549E-01  0.90263123E-01  0.41393087E-02
 0.65400003E+00  0.42901294E-02  0.19571938E-01  0.59487112E-01  0.90257703E-01  0.42549592E-02
 0.66000003E+00  0.44085810E-02  0.19930404E-01  0.60028643E-01  0.90252132E-01  0.43727430E-02
 0.66600003E+00  0.45291927E-02  0.20292119E-01  0.60570139E-01  0.90246409E-01  0.44926796E-02
 0.67200003E+00  0.46519840E-02  0.20657083E-01  0.61111601E-01  0.90240529E-01  0.46147882E-02
 0.67800003E+00  0.47769743E-02  0.21025296E-01  0.61653027E-01  0.90234492E-01  0.47390884E-02
 0.68400003E+00  0.49041831E-02  0.21396757E-01  0.62194417E-01  0.90228293E-01  0.48655996E-02
 0.69000003E+00  0.50336299E-02  0.21771466E-01  0.62735768E-01  0.90221929E-01  0.49943412E-02
 0.69600003E+00  0.51653343E-02  0.22149424E-01  0.63277081E-01  0.90215399E-01  0.51253326E-02
 0.70200003E+00  0.52993157E-02  0.22530629E-01  0.63818355E-01  0.90208699E-01  0.52585932E-02
 0.70800003E+00  0.54355935E-02  0.22915081E-01  0.64359588E-01  0.90201826E-01  0.53941425E-02
 0.71400003E+00  0.55741873E-02  0.23302781E-01  0.64900778E-01  0.90194777E-01  0.55319997E-02
 0.72000003E+00  0.57151166E-02  0.23693728E-01  0.65441927E-01  0.90187550E-01  0.56721843E-02
 0.72600003E+00  0.58584008E-02  0.24087922E-01  0.65983031E-01  0.90180141E-01  0.58147157E-02
 0.73200003E+00  0.60040595E-02  0.24485362E-01  0.66524090E-01  0.90172547E-01  0.59596133E-02
 0.73800004E+00  0.61521120E-02  0.24886049E-01  0.67065104E-01  0.90164766E-01  0.61068965E-02
 0.74400004E+00  0.63025779E-02  0.25289981E-01  0.67606070E-01  0.90156793E-01  0.62565845E-02
 0.75000004E+00  0.64554766E-02  0.25697159E-01  0.68146987E-01  0.90148627E-01  0.64086969E-02
 0.75600004E+00  0.66108276E-02  0.26107583E-01  0.68687855E-01  0.90140264E-01  0.65632529E-02
 0.76200004E+00  0.67686505E-02  0.26521251E-01  0.69228672E-01  0.90131701E-01  0.67202720E-02
 0.76800004E+00  0.69289646E-02  0.26938165E-01  0.69769438E-01  0.90122934E-01  0.68797734E-02
 0.77400004E+00  0.70917894E-02  0.27358322E-01  0.70310150E-01  0.90113961E-01  0.70417765E-02
 0.78000004E+00  0.72571444E-02  0.27781724E-01  0.70850808E-01  0.90104778E-01  0.72063007E-02
 0.78600004E+00  0.74250491E-02  0.28208370E-01  0.71391410E-01  0.90095383E-01  0.73733653E-02
