#     Mach amont     Angle Choc en °    ThetaMax en °  Inverse Mach cone        Kp
     2.52000000       70.52779904       46.28002599       -0.43333624        1.35157599
     2.54000000       70.60446294       46.43804190       -0.43567749        1.35625110
     2.56000000       70.61585758       46.59317868       -0.43450362        1.35962559
     2.58000000       70.69576302       46.74482208       -0.43707211        1.36420401
     2.60000000       70.70994078       46.89384236       -0.43606293        1.36748224
     2.62000000       70.72536496       47.03986685       -0.43512401        1.37071318
     2.64000000       70.80974554       47.18261716       -0.43801618        1.37515758
     2.66000000       70.82774566       47.32299824       -0.43724292        1.37830124
     2.68000000       70.84689837       47.46061914       -0.43654026        1.38140202
     2.70000000       70.86717543       47.59555506       -0.43590825        1.38446131
     2.72000000       70.88854957       47.72787840       -0.43534689        1.38748043
     2.74000000       70.97958905       47.85730518       -0.43875430        1.39172744
     2.76000000       71.00324169       47.98466536       -0.43835853        1.39467193
     2.78000000       71.02791227       48.10960627       -0.43803313        1.39757980
     2.80000000       71.05357695       48.23219005       -0.43777799        1.40045214
     2.82000000       71.08021264       48.35247653       -0.43759294        1.40329004
     2.84000000       71.10779698       48.47052328       -0.43747779        1.40609452
     2.86000000       71.13630829       48.58638572       -0.43743234        1.40886656
     2.88000000       71.16572561       48.70011720       -0.43745636        1.41160711
     2.90000000       71.19602856       48.81176909       -0.43754960        1.41431707
     2.92000000       71.22719743       48.92139081       -0.43771180        1.41699731
     2.94000000       71.25921309       49.02902998       -0.43794270        1.41964867
     2.96000000       71.29205696       49.13473241       -0.43824200        1.42227193
     2.98000000       71.32571105       49.23854220       -0.43860941        1.42486788
     3.00000000       71.36015788       49.34050183       -0.43904465        1.42743724
     3.02000000       71.39538046       49.44065217       -0.43954739        1.42998073
     3.04000000       71.43136233       49.53903257       -0.44011733        1.43249903
     3.06000000       71.46808747       49.63568092       -0.44075415        1.43499277
     3.08000000       71.43448626       49.73108586       -0.43714292        1.43617807
     3.10000000       71.47252491       49.82445114       -0.43788754        1.43862446
     3.12000000       71.51126322       49.91619698       -0.43869798        1.44104822
     3.14000000       71.55068687       50.00635586       -0.43957393        1.44344988
     3.16000000       71.59078195       50.09495904       -0.44051506        1.44583000
     3.18000000       71.63153491       50.18203660       -0.44152105        1.44818908
     3.20000000       71.60114256       50.26814986       -0.43814606        1.44923900
     3.22000000       71.64305512       50.35237497       -0.43925532        1.45155785
     3.20000000       71.60114256       50.26814986       -0.43814606        1.44923900
     3.30000000       71.74443467       50.67586764       -0.43977466        1.45935168
     3.40000000       71.82813049       51.05169572       -0.43808951        1.46772565
     3.50000000       71.99631158       51.39807967       -0.44221324        1.47700290
     3.60000000       72.10167998       51.71875350       -0.44273813        1.48463251
     3.70000000       72.14195154       52.01633747       -0.43936039        1.49064636
     3.80000000       72.26457916       52.29198232       -0.44174638        1.49768285
     3.90000000       72.31986513       52.54869105       -0.43999657        1.50316213
     4.00000000       72.38158259       52.78768405       -0.43897088        1.50841381
     4.10000000       72.44924127       53.01057090       -0.43863318        1.51346129
     4.20000000       72.52240002       53.21876001       -0.43894965        1.51832483
     4.30000000       72.60066070       53.41348630       -0.43988885        1.52302212
     4.40000000       72.68366307       53.59583459       -0.44142159        1.52756855
     4.50000000       72.77108032       53.76675942       -0.44352097        1.53197765
     4.60000000       72.78517109       53.92789885       -0.44068919        1.53494420
     4.70000000       72.88028142       54.07874282       -0.44378122        1.53911451
