#  Theta paroi en °  Inverse Mach Paroi  Mach amont
    25.49422495        0.53474767        3.20000000
    25.56377084        0.53399795        3.20000000
    25.63324668        0.53324642        3.20000000
    25.70265276        0.53249307        3.20000000
    25.77198938        0.53173790        3.20000000
    25.84125682        0.53098090        3.20000000
    25.91045537        0.53022206        3.20000000
    25.97958530        0.52946138        3.20000000
    26.04864690        0.52869884        3.20000000
    26.11764042        0.52793446        3.20000000
    26.18656613        0.52716821        3.20000000
    26.25542430        0.52640009        3.20000000
    26.32421517        0.52563009        3.20000000
    26.39293900        0.52485821        3.20000000
    26.46159604        0.52408445        3.20000000
    26.53018652        0.52330878        3.20000000
    26.59871069        0.52253122        3.20000000
    26.66716877        0.52175175        3.20000000
    26.73556100        0.52097036        3.20000000
    26.80388760        0.52018705        3.20000000
    26.87214880        0.51940181        3.20000000
    26.94034481        0.51861463        3.20000000
    27.00847584        0.51782551        3.20000000
    27.07654211        0.51703444        3.20000000
    27.14454381        0.51624142        3.20000000
    27.21248117        0.51544643        3.20000000
    27.28035436        0.51464948        3.20000000
    27.34816358        0.51385054        3.20000000
    27.41590903        0.51304963        3.20000000
    27.48359089        0.51224672        3.20000000
    27.55120935        0.51144181        3.20000000
    27.61876459        0.51063490        3.20000000
    27.68625677        0.50982598        3.20000000
    27.75368608        0.50901504        3.20000000
    27.82105269        0.50820208        3.20000000
    27.88835676        0.50738708        3.20000000
    27.95559845        0.50657005        3.20000000
    28.02277792        0.50575096        3.20000000
    28.08989534        0.50492983        3.20000000
    28.15695084        0.50410663        3.20000000
    28.22394459        0.50328136        3.20000000
    28.29087673        0.50245402        3.20000000
    28.35774739        0.50162459        3.20000000
    28.42455674        0.50079308        3.20000000
    28.49130489        0.49995947        3.20000000
    28.55799198        0.49912375        3.20000000
    28.62461815        0.49828592        3.20000000
    28.69118352        0.49744597        3.20000000
    28.75768822        0.49660389        3.20000000
    28.82413237        0.49575968        3.20000000
    28.89051609        0.49491333        3.20000000
    28.95683949        0.49406483        3.20000000
    29.02310269        0.49321417        3.20000000
    29.08930580        0.49236135        3.20000000
    29.15544893        0.49150635        3.20000000
    29.22153218        0.49064918        3.20000000
    29.28755566        0.48978982        3.20000000
    29.35351945        0.48892826        3.20000000
    29.41942367        0.48806450        3.20000000
    29.48526841        0.48719853        3.20000000
    29.55105375        0.48633033        3.20000000
    29.61677978        0.48545992        3.20000000
    29.68244660        0.48458727        3.20000000
    29.74805428        0.48371237        3.20000000
    29.81360290        0.48283523        3.20000000
    29.87909255        0.48195582        3.20000000
    29.94452330        0.48107415        3.20000000
    30.00989522        0.48019021        3.20000000
    30.07520838        0.47930398        3.20000000
    30.14046286        0.47841547        3.20000000
    30.20565872        0.47752465        3.20000000
    30.27079601        0.47663153        3.20000000
    30.33587481        0.47573609        3.20000000
    30.40089516        0.47483833        3.20000000
    30.46585714        0.47393823        3.20000000
    30.53076078        0.47303580        3.20000000
    30.59560614        0.47213101        3.20000000
    30.66039327        0.47122387        3.20000000
    30.72512222        0.47031436        3.20000000
    30.78979303        0.46940248        3.20000000
    30.85440575        0.46848821        3.20000000
    30.91896041        0.46757156        3.20000000
    30.98345704        0.46665250        3.20000000
    31.04789569        0.46573103        3.20000000
    31.11227639        0.46480715        3.20000000
    31.17659916        0.46388084        3.20000000
    31.24086405        0.46295209        3.20000000
    31.30507106        0.46202090        3.20000000
    31.36922023        0.46108726        3.20000000
    31.43331158        0.46015115        3.20000000
    31.49734513        0.45921257        3.20000000
    31.56132089        0.45827151        3.20000000
    31.62523888        0.45732796        3.20000000
    31.68909911        0.45638192        3.20000000
    31.75290160        0.45543336        3.20000000
    31.81664635        0.45448229        3.20000000
    31.88033337        0.45352869        3.20000000
    31.94396267        0.45257256        3.20000000
