#  Theta paroi en °         Kp           Mach amont
     4.37812884        0.06476159        1.01000000
     4.37957740        0.06483729        1.01000000
     4.38100535        0.06491254        1.01000000
     4.38241271        0.06498735        1.01000000
     4.38379963        0.06506172        1.01000000
     4.38516620        0.06513566        1.01000000
     4.38651250        0.06520915        1.01000000
     4.38783860        0.06528221        1.01000000
     4.38914466        0.06535484        1.01000000
     4.39043072        0.06542703        1.01000000
     4.39169688        0.06549880        1.01000000
     4.39294323        0.06557013        1.01000000
     4.39416985        0.06564104        1.01000000
     4.39537685        0.06571152        1.01000000
     4.39656431        0.06578157        1.01000000
     4.39773232        0.06585120        1.01000000
     4.39888095        0.06592041        1.01000000
     4.40001028        0.06598920        1.01000000
     4.40112041        0.06605757        1.01000000
     4.40221142        0.06612552        1.01000000
     4.40328339        0.06619306        1.01000000
     4.40433639        0.06626018        1.01000000
     4.40537052        0.06632689        1.01000000
     4.40638584        0.06639318        1.01000000
     4.40738243        0.06645906        1.01000000
     4.40836038        0.06652454        1.01000000
     4.40931976        0.06658960        1.01000000
     4.41026064        0.06665426        1.01000000
     4.41118313        0.06671852        1.01000000
     4.41208728        0.06678237        1.01000000
     4.41297314        0.06684581        1.01000000
     4.41384081        0.06690885        1.01000000
     4.41469034        0.06697150        1.01000000
     4.41552184        0.06703374        1.01000000
     4.41633536        0.06709559        1.01000000
     4.41713096        0.06715703        1.01000000
     4.41790870        0.06721809        1.01000000
     4.41866871        0.06727874        1.01000000
     4.41941100        0.06733901        1.01000000
     4.42013562        0.06739888        1.01000000
     4.42084272        0.06745836        1.01000000
     4.42153229        0.06751745        1.01000000
     4.42220442        0.06757615        1.01000000
     4.42285920        0.06763447        1.01000000
     4.42349664        0.06769240        1.01000000
     4.42411687        0.06774994        1.01000000
     4.42471988        0.06780710        1.01000000
     4.42530581        0.06786387        1.01000000
     4.42587465        0.06792027        1.01000000
     4.42642652        0.06797628        1.01000000
     4.42696142        0.06803191        1.01000000
     4.42747949        0.06808716        1.01000000
     4.42798069        0.06814204        1.01000000
     4.42846519        0.06819653        1.01000000
     4.42893296        0.06825066        1.01000000
     4.42938409        0.06830440        1.01000000
     4.42981865        0.06835778        1.01000000
     4.43023666        0.06841078        1.01000000
     4.43063822        0.06846340        1.01000000
     4.43102337        0.06851566        1.01000000
     4.43139214        0.06856755        1.01000000
     4.43174461        0.06861907        1.01000000
     4.43208085        0.06867022        1.01000000
     4.43240087        0.06872100        1.01000000
     4.43270474        0.06877142        1.01000000
     4.43299253        0.06882148        1.01000000
     4.43326430        0.06887116        1.01000000
     4.43352006        0.06892049        1.01000000
     4.43375989        0.06896945        1.01000000
     4.43398382        0.06901806        1.01000000
     4.43419191        0.06906630        1.01000000
     4.43438423        0.06911418        1.01000000
     4.43456082        0.06916170        1.01000000
     4.43472172        0.06920887        1.01000000
     4.43486698        0.06925568        1.01000000
     4.43499664        0.06930213        1.01000000
     4.43511076        0.06934823        1.01000000
     4.43520938        0.06939397        1.01000000
     4.43529255        0.06943936        1.01000000
     4.43536031        0.06948440        1.01000000
     4.43541271        0.06952908        1.01000000
     4.43544980        0.06957341        1.01000000
     4.43547162        0.06961740        1.01000000
     4.43547821        0.06966103        1.01000000
     4.43546962        0.06970432        1.01000000
     4.43544589        0.06974726        1.01000000
     4.43540706        0.06978985        1.01000000
     4.43535320        0.06983209        1.01000000
     4.43528433        0.06987399        1.01000000
     4.43520049        0.06991555        1.01000000
     4.43510172        0.06995676        1.01000000
     4.43498806        0.06999763        1.01000000
     4.43485955        0.07003815        1.01000000
     4.43471625        0.07007834        1.01000000
     4.43455820        0.07011818        1.01000000
     4.43438541        0.07015768        1.01000000
     4.43419793        0.07019685        1.01000000
     4.43399581        0.07023567        1.01000000
     4.43377910        0.07027416        1.01000000
     4.43354780        0.07031231        1.01000000
     4.43330196        0.07035012        1.01000000
     4.43304166        0.07038760        1.01000000
     4.43276689        0.07042475        1.01000000
     4.43247768        0.07046155        1.01000000
     4.43217413        0.07049803        1.01000000
     4.43185620        0.07053417        1.01000000
     4.43152397        0.07056998        1.01000000
     4.43117747        0.07060546        1.01000000
     4.43081671        0.07064061        1.01000000
     4.43044178        0.07067542        1.01000000
     4.43005263        0.07070991        1.01000000
     4.42964940        0.07074407        1.01000000
     4.42923201        0.07077790        1.01000000
     4.42880060        0.07081140        1.01000000
     4.42835511        0.07084458        1.01000000
     4.42789567        0.07087743        1.01000000
     4.42742220        0.07090995        1.01000000
     4.42693484        0.07094215        1.01000000
     4.42643354        0.07097402        1.01000000
     4.42591839        0.07100557        1.01000000
     4.42538938        0.07103680        1.01000000
     4.42484655        0.07106770        1.01000000
     4.42428997        0.07109829        1.01000000
     4.42371960        0.07112855        1.01000000
     4.42313552        0.07115849        1.01000000
     4.42253777        0.07118811        1.01000000
     4.42192633        0.07121741        1.01000000
     4.42130126        0.07124639        1.01000000
     4.42066262        0.07127505        1.01000000
     4.42001037        0.07130339        1.01000000
     4.41934457        0.07133142        1.01000000
     4.41866527        0.07135913        1.01000000
     4.41797248        0.07138652        1.01000000
     4.41726622        0.07141360        1.01000000
     4.41654651        0.07144036        1.01000000
     4.41581340        0.07146681        1.01000000
     4.41506692        0.07149295        1.01000000
     4.41430708        0.07151877        1.01000000
     4.41353391        0.07154428        1.01000000
     4.41274743        0.07156947        1.01000000
     4.41194767        0.07159435        1.01000000
     4.41113465        0.07161893        1.01000000
     4.41030842        0.07164319        1.01000000
     4.40946899        0.07166714        1.01000000
     4.40861638        0.07169078        1.01000000
     4.40775061        0.07171411        1.01000000
     4.40687172        0.07173713        1.01000000
     4.40597972        0.07175985        1.01000000
     4.40507463        0.07178225        1.01000000
     4.40415649        0.07180435        1.01000000
     4.40322532        0.07182614        1.01000000
     4.40228113        0.07184763        1.01000000
     4.40132395        0.07186881        1.01000000
     4.40035380        0.07188968        1.01000000
     4.39937071        0.07191025        1.01000000
     4.39837470        0.07193052        1.01000000
     4.39736578        0.07195048        1.01000000
     4.39634398        0.07197014        1.01000000
     4.39530933        0.07198949        1.01000000
     4.39426186        0.07200854        1.01000000
     4.39320156        0.07202729        1.01000000
     4.39212847        0.07204574        1.01000000
     4.39104260        0.07206388        1.01000000
     4.38994397        0.07208173        1.01000000
     4.38883259        0.07209928        1.01000000
     4.38770852        0.07211652        1.01000000
     4.38657176        0.07213347        1.01000000
     4.38542231        0.07215011        1.01000000
     4.38426020        0.07216646        1.01000000
     4.38308543        0.07218251        1.01000000
     4.38189809        0.07219826        1.01000000
     4.38069812        0.07221372        1.01000000
     4.37948556        0.07222887        1.01000000
     4.37826044        0.07224373        1.01000000
     4.37702279        0.07225830        1.01000000
     4.37577259        0.07227257        1.01000000
     4.37450987        0.07228654        1.01000000
     4.37323468        0.07230022        1.01000000
     4.37194699        0.07231360        1.01000000
     4.37064684        0.07232669        1.01000000
     4.36933426        0.07233949        1.01000000
     4.36800921        0.07235199        1.01000000
     4.36667180        0.07236420        1.01000000
     4.36532196        0.07237612        1.01000000
     4.36395974        0.07238774        1.01000000
     4.36258517        0.07239907        1.01000000
     4.36119821        0.07241011        1.01000000
     4.35979896        0.07242086        1.01000000
     4.35838735        0.07243132        1.01000000
     4.35696347        0.07244149        1.01000000
     4.35552726        0.07245137        1.01000000
     4.35407881        0.07246096        1.01000000
     4.35261806        0.07247026        1.01000000
     4.35114509        0.07247927        1.01000000
     4.34965986        0.07248799        1.01000000
     4.34816242        0.07249642        1.01000000
     4.34665277        0.07250457        1.01000000
     4.34513091        0.07251243        1.01000000
     4.34359689        0.07252000        1.01000000
     4.34205067        0.07252728        1.01000000
     4.34049232        0.07253428        1.01000000
     4.33892182        0.07254099        1.01000000
     4.33733915        0.07254741        1.01000000
     4.33574440        0.07255355        1.01000000
     4.33413753        0.07255940        1.01000000
     4.33251853        0.07256497        1.01000000
     4.33088748        0.07257026        1.01000000
     4.32924435        0.07257526        1.01000000
     4.32758914        0.07257997        1.01000000
     4.32592186        0.07258440        1.01000000
     4.32424258        0.07258855        1.01000000
     4.32255125        0.07259242        1.01000000
     4.32084788        0.07259600        1.01000000
     4.31913249        0.07259930        1.01000000
     4.31740513        0.07260232        1.01000000
     4.31566577        0.07260505        1.01000000
     4.31391442        0.07260751        1.01000000
     4.31215109        0.07260968        1.01000000
     4.31037579        0.07261157        1.01000000
     4.30858853        0.07261318        1.01000000
     4.30678934        0.07261451        1.01000000
     4.30497822        0.07261556        1.01000000
     4.30315516        0.07261633        1.01000000
     4.30132017        0.07261682        1.01000000
     4.29947327        0.07261703        1.01000000
     4.29761446        0.07261696        1.01000000
     4.29574376        0.07261661        1.01000000
     4.29386116        0.07261599        1.01000000
     4.29196668        0.07261508        1.01000000
     4.29006032        0.07261390        1.01000000
     4.28814210        0.07261244        1.01000000
     4.28621201        0.07261070        1.01000000
     4.28427007        0.07260869        1.01000000
     4.28231628        0.07260640        1.01000000
     4.28035065        0.07260383        1.01000000
     4.27837318        0.07260098        1.01000000
     4.27638389        0.07259786        1.01000000
     4.27438276        0.07259446        1.01000000
     4.27236982        0.07259079        1.01000000
     4.27034506        0.07258684        1.01000000
     4.26830849        0.07258261        1.01000000
     4.26626012        0.07257811        1.01000000
     4.26419994        0.07257334        1.01000000
     4.26212799        0.07256829        1.01000000
     4.26004426        0.07256296        1.01000000
     4.25794873        0.07255736        1.01000000
     4.25584142        0.07255149        1.01000000
     4.25372232        0.07254535        1.01000000
     4.25159144        0.07253893        1.01000000
     4.24944884        0.07253223        1.01000000
     4.24729445        0.07252527        1.01000000
     4.24512830        0.07251803        1.01000000
     4.24295037        0.07251051        1.01000000
     4.24076071        0.07250273        1.01000000
     4.23855930        0.07249467        1.01000000
     4.23634613        0.07248634        1.01000000
     4.23412119        0.07247774        1.01000000
     4.23188456        0.07246887        1.01000000
     4.22963616        0.07245973        1.01000000
     4.22737599        0.07245031        1.01000000
     4.22510413        0.07244062        1.01000000
     4.22282052        0.07243067        1.01000000
     4.22052514        0.07242044        1.01000000
     4.21821808        0.07240994        1.01000000
     4.21589925        0.07239917        1.01000000
     4.21356870        0.07238813        1.01000000
     4.21122643        0.07237682        1.01000000
     4.20887239        0.07236524        1.01000000
     4.20650667        0.07235339        1.01000000
     4.20412918        0.07234127        1.01000000
     4.20174000        0.07232889        1.01000000
     4.19933905        0.07231623        1.01000000
     4.19692640        0.07230330        1.01000000
     4.19450200        0.07229011        1.01000000
     4.19206589        0.07227664        1.01000000
     4.18961803        0.07226291        1.01000000
     4.18715845        0.07224891        1.01000000
     4.18468711        0.07223464        1.01000000
     4.18220408        0.07222011        1.01000000
     4.17970926        0.07220530        1.01000000
     4.17720276        0.07219023        1.01000000
     4.17468448        0.07217489        1.01000000
     4.17215447        0.07215929        1.01000000
     4.16961272        0.07214341        1.01000000
     4.16705919        0.07212727        1.01000000
     4.16449397        0.07211086        1.01000000
     4.16191696        0.07209419        1.01000000
     4.15932818        0.07207724        1.01000000
     4.15672769        0.07206004        1.01000000
     4.15411542        0.07204256        1.01000000
     4.15149135        0.07202482        1.01000000
     4.14885557        0.07200681        1.01000000
     4.14620800        0.07198854        1.01000000
     4.14354863        0.07197000        1.01000000
     4.14087749        0.07195119        1.01000000
     4.13819459        0.07193212        1.01000000
     4.13549988        0.07191279        1.01000000
     4.13279337        0.07189319        1.01000000
     4.13007506        0.07187332        1.01000000
     4.12734498        0.07185319        1.01000000
     4.12460308        0.07183279        1.01000000
     4.12184935        0.07181213        1.01000000
     4.11908381        0.07179120        1.01000000
     4.11630643        0.07177001        1.01000000
     4.11351722        0.07174855        1.01000000
     4.11071620        0.07172683        1.01000000
     4.10790333        0.07170485        1.01000000
     4.10507860        0.07168260        1.01000000
     4.10224201        0.07166008        1.01000000
     4.09939356        0.07163730        1.01000000
     4.09653324        0.07161426        1.01000000
     4.09366104        0.07159096        1.01000000
     4.09077695        0.07156739        1.01000000
     4.08788097        0.07154355        1.01000000
     4.08497308        0.07151946        1.01000000
     4.08205329        0.07149509        1.01000000
     4.07912159        0.07147047        1.01000000
     4.07617795        0.07144558        1.01000000
     4.07322238        0.07142043        1.01000000
     4.07025487        0.07139502        1.01000000
     4.06727541        0.07136934        1.01000000
     4.06428399        0.07134340        1.01000000
     4.06128059        0.07131719        1.01000000
     4.05826521        0.07129073        1.01000000
