# case : Constant_Source_Doublet_Potential
#          x          Cp 
-9.738316635641e-01 9.220586416713e-01  83 
-9.807553677183e-01 9.768549553641e-01  84 
-9.866245533409e-01 9.999906608841e-01  85 
-9.914338903818e-01 9.712373857229e-01  86 
-9.951790148830e-01 8.668980918682e-01  87 
-9.978565307799e-01 6.666059252187e-01  88 
-9.994640113063e-01 3.652714219071e-01  89 
-1.000000000000e+00 -1.567419827839e-02  90 
-9.994640113063e-01 -4.290556225779e-01  91 
-9.978565307799e-01 -8.193690969559e-01  92 
-9.951790148830e-01 -1.144941303399e+00  93 
-9.914338903818e-01 -1.388499651052e+00  94 
-9.866245533409e-01 -1.553246900938e+00  95 
-9.807553677183e-01 -1.652968965099e+00  96 
-9.738316635641e-01 -1.703865811030e+00  97 
-9.658597348256e-01 -1.720289675632e+00  98 
-9.568468367618e-01 -1.713404075190e+00  99 
-9.468011829746e-01 -1.691298128095e+00  100 
-9.357319420577e-01 -1.659595493052e+00  101 
-9.236492338722e-01 -1.622106783444e+00  102 
-9.105641254508e-01 -1.581369157836e+00  103 
-8.964886265392e-01 -1.539047759448e+00  104 
-8.814356847773e-01 -1.496219121921e+00  105 
-8.654191805279e-01 -1.453565821640e+00  106 
-8.484539213548e-01 -1.411508273089e+00  107 
-8.305556361576e-01 -1.370293345809e+00  108 
-8.117409689635e-01 -1.330053775914e+00  109 
-7.920274723800e-01 -1.290847962709e+00  110 
-7.714336007101e-01 -1.252686621237e+00  111 
-7.499787027279e-01 -1.215550622477e+00  112 
-7.276830141135e-01 -1.179402913819e+00  113 
-7.045676495443e-01 -1.144196452839e+00  114 
-6.806545944341e-01 -1.109879449431e+00  115 
-6.559666963139e-01 -1.076398787084e+00  116 
-6.305276558419e-01 -1.043702211142e+00  117 
-6.043620174292e-01 -1.011739682468e+00  118 
-5.774951594642e-01 -9.804641675559e-01  119 
-5.499532841146e-01 -9.498320500569e-01  120 
-5.217634066846e-01 -9.198032902457e-01  121 
-4.929533444982e-01 -8.903414190727e-01  122 
-4.635517052778e-01 -8.614134261313e-01  123 
-4.335878749842e-01 -8.329895821047e-01  124 
-4.030920050750e-01 -8.050432232868e-01  125 
-3.720949991431e-01 -7.775505168170e-01  126 
-3.406284988821e-01 -7.504902190857e-01  127 
-3.087248693322e-01 -7.238434354518e-01  128 
-2.764171833469e-01 -6.975933864652e-01  129 
-2.437392052239e-01 -6.717251837277e-01  130 
-2.107253734358e-01 -6.462256171219e-01  131 
-1.774107823956e-01 -6.210829541816e-01  132 
-1.438311631867e-01 -5.962867517232e-01  133 
-1.100228631880e-01 -5.718276794346e-01  134 
-7.602282452063e-02 -5.476973548236e-01  135 
-4.186856124122e-02 -5.238881887571e-01  136 
-7.598135210540e-03 -5.003932407002e-01  137 
2.674986943782e-02 -4.772060826978e-01  138 
6.113637329853e-02 -4.543206710966e-01  139 
9.552183023351e-02 -4.317312249732e-01  140 
1.298662575122e-01 -4.094321102098e-01  141 
1.641292676101e-01 -3.874177281254e-01  142 
1.982701017152e-01 -3.656824075343e-01  143 
2.322476649815e-01 -3.442202990425e-01  144 
2.660205635592e-01 -3.230252703209e-01  145 
2.995471434133e-01 -3.020908009813e-01  146 
3.327855309313e-01 -2.814098755457e-01  147 
3.656936752961e-01 -2.609748728081e-01  148 
3.982293925831e-01 -2.407774496450e-01  149 
4.303504115113e-01 -2.208084170131e-01  150 
4.620144207516e-01 -2.010576054592e-01  151 
4.931791176619e-01 -1.815137169359e-01  152 
5.238022582787e-01 -1.621641590162e-01  153 
5.538417083549e-01 -1.429948566978e-01  154 
5.832554951790e-01 -1.239900357880e-01  155 
6.120018598559e-01 -1.051319702815e-01  156 
6.400393096590e-01 -8.640068402644e-02  157 
6.673266699823e-01 -6.777359412487e-02  158 
6.938231353252e-01 -4.922507961303e-02  159 
7.194883186208e-01 -3.072595359136e-02  160 
7.442822980731e-01 -1.224280943563e-02  161 
7.681656604810e-01 6.262798998380e-03  162 
7.910995397830e-01 2.483539876214e-02  163 
8.130456492423e-01 4.352693921212e-02  164 
8.339663052579e-01 6.239854620870e-02  165 
8.538244401997e-01 8.152285487808e-02  166 
8.725836008270e-01 1.009871705979e-01  167 
8.902079276372e-01 1.208978448404e-01  168 
9.066621086898e-01 1.413864834985e-01  169 
9.219112986691e-01 1.626190079650e-01  170 
9.359209895356e-01 1.848093119271e-01  171 
9.486568117959e-01 2.082405793239e-01  172 
9.600842326998e-01 2.332997442020e-01  173 
9.701680942660e-01 2.605347734628e-01  174 
9.788718877441e-01 2.907505308461e-01  175 
9.861565607362e-01 3.251620273284e-01  176 
9.919784066484e-01 3.656049469970e-01  177 
9.962848608003e-01 4.148433737004e-01  178 
9.990041515273e-01 4.780488879674e-01  179 
